estimated_delivery_date,actual_delivery_date,carrier_name,shipping_cost,destination_country,delivery_time_days,on_time,route
2009-04-21,2009-04-21,Air,9339.0,Tanzania,0,1,Tanzania
2009-03-02,2009-03-02,Air,25405.22,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-03-23,2009-03-23,Air,23914.8,Mozambique,0,1,Mozambique
2009-04-10,2009-04-10,Air,12835.2,Vietnam,0,1,Vietnam
2009-03-23,2009-03-23,Air,4225.93,Vietnam,0,1,Vietnam
2009-03-16,2009-03-16,Air,892.5,Vietnam,0,1,Vietnam
2009-05-28,2009-05-28,Air,6668.61,Tanzania,0,1,Tanzania
2009-04-28,2009-04-28,Air,12595.81,Rwanda,0,1,Rwanda
2009-09-30,2009-09-30,Air,463.0,Nigeria,0,1,Nigeria
2009-03-31,2009-03-31,Air,260.0,Haiti,0,1,Haiti
2009-04-15,2009-04-15,Air,893.22,Haiti,0,1,Haiti
2009-11-13,2009-11-13,Air,1172.11,Botswana,0,1,Botswana
2009-06-30,2009-06-30,Air,14806.48,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-07-22,2009-07-22,Air,7642.97,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-05-15,2009-04-23,Truck,3134.85,South Africa,-22,1,South Africa
2009-09-16,2009-09-16,Air,3128.19,Haiti,0,1,Haiti
2009-07-10,2009-07-10,Air,16835.31,Kenya,0,1,Kenya
2009-08-18,2009-08-18,Air,24514.33,Nigeria,0,1,Nigeria
2009-07-25,2009-07-25,Air,37404.74,Rwanda,0,1,Rwanda
2009-09-15,2009-09-15,Air,8074.03,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-07-17,2009-07-17,Air,3366.04,Vietnam,0,1,Vietnam
2009-07-10,2009-07-10,Air,6341.88,Vietnam,0,1,Vietnam
2009-06-12,2009-07-10,Air,684.42,Botswana,28,0,Botswana
2009-09-01,2009-09-01,Air,401.97,Namibia,0,1,Namibia
2009-07-28,2009-07-28,Air,14.36,Vietnam,0,1,Vietnam
2009-06-29,2009-06-29,Air,1736.18,Namibia,0,1,Namibia
2006-06-27,2006-06-27,Air,1816.57,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-07-14,2006-07-14,Air,1039.5,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-11-16,2006-11-16,Air,3292.15,Vietnam,0,1,Vietnam
2006-11-09,2006-11-09,Air,1195.29,Haiti,0,1,Haiti
2006-12-07,2006-12-07,Air,4861.14,Nigeria,0,1,Nigeria
2007-03-14,2007-03-14,Air,18772.94,Vietnam,0,1,Vietnam
2007-03-14,2007-03-14,Air,42453.21,Vietnam,0,1,Vietnam
2006-12-29,2006-12-29,Air,4989.87,Guyana,0,1,Guyana
2007-05-12,2007-05-12,Air,31858.09,Vietnam,0,1,Vietnam
2007-08-24,2007-08-24,Air,21439.59,Vietnam,0,1,Vietnam
2007-03-15,2007-03-30,Air,4445.75,Nigeria,15,0,Nigeria
2007-01-15,2007-01-15,Air,24859.45,Ethiopia,0,1,Ethiopia
2007-09-07,2007-09-07,Air,5858.57,Nigeria,0,1,Nigeria
2007-10-02,2007-10-02,Air,13762.41,Vietnam,0,1,Vietnam
2007-10-15,2007-10-15,Air,4454.62,Vietnam,0,1,Vietnam
2007-11-23,2007-11-23,Air,16095.39,Vietnam,0,1,Vietnam
2007-08-27,2007-08-27,Air,1767.38,Vietnam,0,1,Vietnam
2007-09-19,2007-09-19,Air,25165.3,Tanzania,0,1,Tanzania
2008-01-28,2008-01-28,Air,7922.24,Rwanda,0,1,Rwanda
2008-03-28,2008-03-28,Air,2535.4,Vietnam,0,1,Vietnam
2008-01-21,2008-01-21,Air,28002.75,Nigeria,0,1,Nigeria
2008-01-28,2008-01-28,Air,1511.25,Rwanda,0,1,Rwanda
2008-02-01,2008-02-01,Air,2429.85,Vietnam,0,1,Vietnam
2008-02-05,2008-02-05,Air,2577.27,Nigeria,0,1,Nigeria
2008-07-03,2008-07-03,Air,2496.62,Botswana,0,1,Botswana
2008-09-19,2008-07-16,Air,18864.37,Nigeria,-65,1,Nigeria
2008-03-27,2008-03-27,Air,55746.59,Mozambique,0,1,Mozambique
2008-05-14,2008-05-14,Air,24689.0,Zambia,0,1,Zambia
2009-03-04,2009-03-04,Air,1104.69,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-07-09,2008-07-04,Air,5298.9,Mozambique,-5,1,Mozambique
2008-07-22,2008-07-22,Air,5175.72,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-12-19,2008-12-19,Air,7118.12,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-05-06,2008-05-06,Air,3740.04,Guyana,0,1,Guyana
2008-07-28,2008-07-28,Air,959.46,Guyana,0,1,Guyana
2008-04-11,2008-04-11,Air,604.0,Botswana,0,1,Botswana
2008-07-07,2008-06-20,Air,4159.45,Vietnam,-17,1,Vietnam
2008-06-01,2008-06-01,Air,3796.05,Vietnam,0,1,Vietnam
2008-10-03,2008-10-03,Air,3013.09,Vietnam,0,1,Vietnam
2008-08-19,2008-08-19,Air,7575.6,Vietnam,0,1,Vietnam
2008-10-27,2008-10-27,Air,2851.72,Haiti,0,1,Haiti
2008-08-16,2008-08-16,Air,5446.06,Rwanda,0,1,Rwanda
2008-07-23,2008-07-22,Air,30408.04,Rwanda,-1,1,Rwanda
2008-07-23,2008-07-23,Air,38120.96,Rwanda,0,1,Rwanda
2008-10-03,2008-10-03,Air,5822.44,Vietnam,0,1,Vietnam
2008-09-22,2008-09-22,Air,7303.52,Zambia,0,1,Zambia
2008-10-29,2008-10-29,Air,1047.39,Guyana,0,1,Guyana
2008-10-15,2008-10-15,Air,24870.05,Nigeria,0,1,Nigeria
2008-09-12,2008-09-12,Air,19992.75,Nigeria,0,1,Nigeria
2008-12-02,2008-12-02,Air,2709.98,Vietnam,0,1,Vietnam
2008-11-24,2008-11-24,Air,2568.6,Vietnam,0,1,Vietnam
2008-11-25,2008-11-25,Air,3247.73,Vietnam,0,1,Vietnam
2008-12-03,2008-12-03,Air,2335.19,Vietnam,0,1,Vietnam
2008-12-15,2008-12-15,Air,648.27,Guyana,0,1,Guyana
2008-11-03,2008-10-13,Air,11066.17,Ethiopia,-21,1,Ethiopia
2008-11-03,2008-11-03,Air,7303.25,Ethiopia,0,1,Ethiopia
2008-10-07,2008-10-07,Air,44347.71,Ethiopia,0,1,Ethiopia
2009-01-26,2009-01-20,Air,19882.25,Ethiopia,-6,1,Ethiopia
2008-12-03,2008-12-03,Air,22433.91,Ethiopia,0,1,Ethiopia
2008-11-27,2008-11-27,Air,2653.27,Vietnam,0,1,Vietnam
2009-04-08,2009-04-08,Air,22451.67,Nigeria,0,1,Nigeria
2009-01-27,2009-01-27,Air,963.34,Namibia,0,1,Namibia
2009-02-25,2009-01-27,Air,692.38,Guyana,-29,1,Guyana
2009-03-02,2009-03-02,Air,1003.52,Namibia,0,1,Namibia
2009-04-07,2009-04-07,Air,9809.7,Vietnam,0,1,Vietnam
2009-04-08,2009-04-08,Air,7933.38,Nigeria,0,1,Nigeria
2009-03-16,2009-03-16,Air,3241.06,Haiti,0,1,Haiti
2009-04-02,2009-04-02,Air,1903.54,Haiti,0,1,Haiti
2009-05-26,2009-05-26,Air,25052.69,Mozambique,0,1,Mozambique
2009-05-04,2009-05-04,Air,428.91,Uganda,0,1,Uganda
2009-04-20,2009-04-20,Air,853.88,Rwanda,0,1,Rwanda
2009-06-05,2009-06-05,Air,1859.79,Guyana,0,1,Guyana
2009-07-01,2009-07-01,Air,1205.7,Guyana,0,1,Guyana
2009-05-20,2009-05-20,Air,1332.43,Nigeria,0,1,Nigeria
2009-06-18,2009-06-18,Air,12561.4,Kenya,0,1,Kenya
2009-06-18,2009-06-18,Air,275.0,Kenya,0,1,Kenya
2009-07-14,2009-07-14,Air,3777.93,Nigeria,0,1,Nigeria
2009-07-20,2009-07-20,Air,30661.5,Rwanda,0,1,Rwanda
2009-06-10,2009-07-15,Air,8114.11,Côte d'Ivoire,35,0,Côte d'Ivoire
2009-06-15,2009-06-15,Air,2008.54,Namibia,0,1,Namibia
2009-06-08,2009-06-08,Air,4111.71,Vietnam,0,1,Vietnam
2009-06-09,2009-06-09,Air,4318.21,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-08-18,2009-08-18,Air,1484.75,Namibia,0,1,Namibia
2009-11-11,2009-10-29,Air,5962.58,Zambia,-13,1,Zambia
2009-08-07,2009-08-07,Air,314.0,Guyana,0,1,Guyana
2006-09-06,2006-09-06,Air,1845.74,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-10-09,2006-10-09,Air,854.34,Haiti,0,1,Haiti
2006-09-01,2006-09-01,Air,7682.69,Vietnam,0,1,Vietnam
2007-01-29,2007-01-29,Air,3850.8,Zambia,0,1,Zambia
2006-11-13,2006-11-13,Air,14364.29,Zambia,0,1,Zambia
2006-12-20,2006-12-20,Air,49824.57,Zambia,0,1,Zambia
2007-03-14,2007-03-14,Air,25124.12,Vietnam,0,1,Vietnam
2007-02-07,2007-02-07,Air,1498.02,Haiti,0,1,Haiti
2007-07-09,2007-07-09,Air,21150.56,Vietnam,0,1,Vietnam
2007-06-28,2007-06-28,Air,3004.62,Côte d'Ivoire,0,1,Côte d'Ivoire
2007-07-10,2007-07-10,Air,28118.58,Nigeria,0,1,Nigeria
2007-07-10,2007-08-03,Air,43664.71,Nigeria,24,0,Nigeria
2007-07-04,2007-07-04,Air,22838.29,Nigeria,0,1,Nigeria
2007-10-02,2007-10-02,Air,18045.24,Vietnam,0,1,Vietnam
2007-11-08,2007-11-08,Air,2514.05,Vietnam,0,1,Vietnam
2007-09-10,2007-09-10,Air,2326.1,Vietnam,0,1,Vietnam
2007-12-19,2007-12-19,Air,27791.62,Tanzania,0,1,Tanzania
2008-01-22,2008-01-22,Air,14505.37,Tanzania,0,1,Tanzania
2007-11-20,2007-12-24,Air,6755.81,Ethiopia,34,0,Ethiopia
2007-12-03,2007-12-03,Air,6524.19,Guyana,0,1,Guyana
2008-01-10,2008-01-10,Air,38425.29,Rwanda,0,1,Rwanda
2008-01-22,2008-01-22,Air,2426.05,Vietnam,0,1,Vietnam
2008-09-19,2008-09-19,Air,20635.3,Nigeria,0,1,Nigeria
2008-03-12,2008-03-10,Air,12770.05,Nigeria,-2,1,Nigeria
2008-03-12,2008-03-12,Air,8213.59,Nigeria,0,1,Nigeria
2008-04-22,2008-05-05,Air,4113.16,Zambia,13,0,Zambia
2008-04-08,2008-04-08,Air,515.48,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-04-25,2008-04-25,Air,5303.05,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-05-22,2008-05-22,Air,2642.45,Uganda,0,1,Uganda
2008-07-07,2008-07-07,Air,5260.46,Vietnam,0,1,Vietnam
2008-06-17,2008-06-17,Air,2789.74,Vietnam,0,1,Vietnam
2008-06-20,2008-06-20,Air,2879.96,Vietnam,0,1,Vietnam
2008-07-31,2008-07-31,Air,641.04,Botswana,0,1,Botswana
2009-01-20,2008-09-03,Air,1038.39,Botswana,-139,1,Botswana
2008-11-17,2008-11-17,Air,2873.56,Haiti,0,1,Haiti
2008-09-26,2008-09-26,Air,34902.96,Zambia,0,1,Zambia
2008-09-20,2008-09-20,Air,5921.97,Vietnam,0,1,Vietnam
2008-11-07,2008-10-21,Air,29954.15,Nigeria,-17,1,Nigeria
2008-09-09,2008-09-09,Air,330.0,Uganda,0,1,Uganda
2008-11-29,2008-11-29,Air,2147.61,Vietnam,0,1,Vietnam
2008-11-17,2008-11-17,Air,46117.09,Ethiopia,0,1,Ethiopia
2009-02-17,2009-02-17,Air,3499.18,Mozambique,0,1,Mozambique
2008-10-03,2008-10-03,Air,2648.82,Mozambique,0,1,Mozambique
2008-12-12,2008-12-12,Air,25080.52,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-10-10,2008-10-10,Air,1727.2,Nigeria,0,1,Nigeria
2009-03-18,2009-03-18,Air,12646.15,Zambia,0,1,Zambia
2009-02-23,2009-02-23,Air,3854.23,Vietnam,0,1,Vietnam
2009-01-22,2009-01-22,Air,2946.64,Namibia,0,1,Namibia
2008-12-09,2008-12-09,Air,378.0,Uganda,0,1,Uganda
2009-01-26,2009-01-20,Air,20083.74,Ethiopia,-6,1,Ethiopia
2009-01-19,2009-01-19,Air,3261.37,Tanzania,0,1,Tanzania
2009-02-05,2009-02-05,Air,22775.45,Nigeria,0,1,Nigeria
2009-03-17,2009-03-13,Air,4457.29,Guyana,-4,1,Guyana
2009-03-17,2009-03-17,Air,1083.36,Guyana,0,1,Guyana
2009-04-11,2009-04-11,Air,2525.73,Vietnam,0,1,Vietnam
2009-04-01,2009-04-01,Air,3936.25,Rwanda,0,1,Rwanda
2009-04-15,2009-04-15,Air,2490.67,Haiti,0,1,Haiti
2009-04-21,2008-12-05,Air,4230.75,South Africa,-137,1,South Africa
2009-07-10,2009-07-10,Air,684.42,Botswana,0,1,Botswana
2009-08-07,2009-08-28,Air,17974.65,Kenya,21,0,Kenya
2009-09-21,2009-09-21,Air,61925.7,Rwanda,0,1,Rwanda
2009-05-20,2009-05-20,Air,2760.11,Namibia,0,1,Namibia
2009-07-21,2009-07-21,Air,10048.1,Vietnam,0,1,Vietnam
2009-08-03,2009-08-03,Air,4453.71,Vietnam,0,1,Vietnam
2009-07-10,2009-07-10,Air,9931.49,Vietnam,0,1,Vietnam
2009-06-12,2009-06-12,Air,597.43,Botswana,0,1,Botswana
2006-05-10,2006-05-10,Air,633.73,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-12-21,2006-12-21,Air,5595.44,Uganda,0,1,Uganda
2007-03-27,2007-03-27,Air,13981.96,Vietnam,0,1,Vietnam
2007-01-17,2007-01-17,Air,5714.31,Rwanda,0,1,Rwanda
2007-01-25,2007-03-09,Air,17928.53,Rwanda,43,0,Rwanda
2006-11-20,2006-11-20,Air,5157.65,Zambia,0,1,Zambia
2007-02-20,2007-02-20,Air,963.73,Zambia,0,1,Zambia
2007-05-08,2007-05-08,Air,4702.79,Haiti,0,1,Haiti
2007-06-19,2007-08-06,Air,3906.29,Nigeria,48,0,Nigeria
2007-09-10,2007-09-10,Air,2923.46,Vietnam,0,1,Vietnam
2007-10-16,2007-10-16,Air,28466.06,Tanzania,0,1,Tanzania
2008-11-19,2008-11-19,Air,22856.02,Tanzania,0,1,Tanzania
2007-10-25,2007-10-25,Air,1711.86,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-04-28,2008-04-22,Air,10500.0,Rwanda,-6,1,Rwanda
2008-01-22,2008-03-07,Air,5866.31,Vietnam,45,0,Vietnam
2008-04-11,2008-04-11,Air,910.86,Haiti,0,1,Haiti
2008-06-06,2008-06-06,Air,8690.26,Zambia,0,1,Zambia
2008-04-14,2008-04-17,Air,6924.83,Côte d'Ivoire,3,0,Côte d'Ivoire
2008-07-11,2008-07-11,Air,15987.05,Rwanda,0,1,Rwanda
2008-09-26,2008-09-26,Air,4014.57,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-07-21,2008-07-21,Air,4717.51,Guyana,0,1,Guyana
2008-08-12,2008-08-12,Air,7526.06,Vietnam,0,1,Vietnam
2008-09-19,2008-09-19,Air,7265.05,Vietnam,0,1,Vietnam
2008-07-16,2008-07-16,Air,4393.32,Vietnam,0,1,Vietnam
2008-07-14,2008-07-14,Air,3449.4,Vietnam,0,1,Vietnam
2008-10-11,2008-10-11,Air,5412.14,Vietnam,0,1,Vietnam
2008-09-19,2008-09-19,Air,5881.57,Vietnam,0,1,Vietnam
2008-09-19,2008-09-19,Air,5551.97,Vietnam,0,1,Vietnam
2008-09-30,2008-09-30,Air,2035.66,Vietnam,0,1,Vietnam
2008-08-06,2008-08-06,Air,3684.28,Haiti,0,1,Haiti
2008-11-18,2008-11-18,Air,19569.48,Zambia,0,1,Zambia
2008-10-01,2008-10-01,Air,3976.33,Guyana,0,1,Guyana
2008-11-18,2008-11-18,Air,1225.17,Botswana,0,1,Botswana
2008-10-09,2008-10-02,Air,559.95,Botswana,-7,1,Botswana
2008-09-25,2008-09-25,Air,3171.36,Vietnam,0,1,Vietnam
2008-11-17,2008-11-17,Air,46117.09,Ethiopia,0,1,Ethiopia
2008-10-30,2008-10-28,Air,44360.44,Ethiopia,-2,1,Ethiopia
2008-10-06,2008-10-06,Air,44347.71,Ethiopia,0,1,Ethiopia
2008-11-01,2008-11-01,Air,23743.01,Mozambique,0,1,Mozambique
2009-03-10,2009-03-10,Air,16414.22,Rwanda,0,1,Rwanda
2008-10-08,2008-10-08,Air,7078.9,Namibia,0,1,Namibia
2009-03-02,2009-03-02,Air,4810.99,Tanzania,0,1,Tanzania
2009-01-27,2009-01-27,Air,4856.14,Ethiopia,0,1,Ethiopia
2009-06-15,2009-06-15,Air,3451.41,Tanzania,0,1,Tanzania
2009-01-30,2009-01-23,Air,1097.78,Guyana,-7,1,Guyana
2009-03-26,2009-03-26,Air,1205.43,Zambia,0,1,Zambia
2009-03-25,2009-03-25,Air,812.0,Senegal,0,1,Senegal
2009-08-11,2009-08-11,Air,12620.12,Tanzania,0,1,Tanzania
2009-04-01,2008-11-26,Air,1521.4,South Africa,-126,1,South Africa
2009-04-17,2009-04-17,Air,1119.99,Botswana,0,1,Botswana
2009-08-12,2009-08-12,Air,19023.36,Rwanda,0,1,Rwanda
2009-09-03,2009-09-03,Air,17170.07,Nigeria,0,1,Nigeria
2009-06-10,2009-06-09,Air,9471.52,Côte d'Ivoire,-1,1,Côte d'Ivoire
2009-06-10,2009-06-17,Air,2199.43,Côte d'Ivoire,7,0,Côte d'Ivoire
2009-05-27,2009-05-27,Air,17643.81,Namibia,0,1,Namibia
2009-07-30,2009-07-30,Air,3310.89,Tanzania,0,1,Tanzania
2009-09-01,2009-09-01,Air,133.25,Namibia,0,1,Namibia
2006-05-02,2006-05-02,Air,515.32,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-08-08,2006-08-08,Air,859.53,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-09-15,2006-09-15,Air,7286.16,Vietnam,0,1,Vietnam
2006-09-06,2006-09-06,Air,20257.08,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-12-25,2006-12-25,Air,569.52,Guyana,0,1,Guyana
2006-12-22,2006-12-22,Air,2623.49,Uganda,0,1,Uganda
2007-03-14,2007-03-14,Air,27923.26,Vietnam,0,1,Vietnam
2007-03-14,2007-05-16,Air,14982.1,Vietnam,63,0,Vietnam
2007-04-16,2007-04-16,Air,13453.12,Vietnam,0,1,Vietnam
2006-11-15,2006-11-15,Air,801.54,Guyana,0,1,Guyana
2007-01-18,2007-01-18,Air,713.58,Nigeria,0,1,Nigeria
2007-03-23,2007-03-23,Air,3114.08,Tanzania,0,1,Tanzania
2007-04-30,2007-04-30,Air,5240.47,Guyana,0,1,Guyana
2007-08-07,2007-08-07,Air,8576.8,Guyana,0,1,Guyana
2007-08-09,2007-08-21,Air,1398.6,Guyana,12,0,Guyana
2007-08-13,2007-08-07,Air,240.0,Haiti,-6,1,Haiti
2007-10-23,2007-10-23,Air,7961.7,Côte d'Ivoire,0,1,Côte d'Ivoire
2007-11-19,2007-11-19,Air,3616.95,Rwanda,0,1,Rwanda
2008-03-06,2008-03-06,Air,3120.92,Vietnam,0,1,Vietnam
2008-01-31,2008-01-28,Air,9479.89,Rwanda,-3,1,Rwanda
2008-03-10,2008-03-10,Air,897.52,Haiti,0,1,Haiti
2008-04-03,2008-04-03,Air,1625.08,Botswana,0,1,Botswana
2008-09-19,2008-06-20,Air,16036.94,Nigeria,-91,1,Nigeria
2008-03-10,2008-03-04,Air,6687.51,Benin,-6,1,Benin
2009-03-19,2009-03-19,Air,2358.13,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-07-14,2008-07-14,Air,587.63,Lesotho,0,1,Lesotho
2008-06-23,2008-06-04,Air,1028.18,Botswana,-19,1,Botswana
2008-05-22,2008-05-22,Air,360.0,Uganda,0,1,Uganda
2008-06-02,2008-06-02,Air,4193.88,Uganda,0,1,Uganda
2008-06-02,2008-06-02,Air,1253.98,Uganda,0,1,Uganda
2008-05-30,2008-05-30,Air,7915.98,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-07-14,2008-07-14,Air,5217.59,Vietnam,0,1,Vietnam
2008-06-01,2008-05-22,Air,2864.44,Vietnam,-10,1,Vietnam
2008-05-09,2008-05-09,Air,1796.68,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-09-19,2008-09-19,Air,10356.86,Vietnam,0,1,Vietnam
2008-11-16,2008-11-16,Air,2519.89,Vietnam,0,1,Vietnam
2008-09-20,2008-09-20,Air,7884.8,Vietnam,0,1,Vietnam
2008-08-22,2008-08-22,Air,1372.85,Haiti,0,1,Haiti
2008-10-10,2008-10-10,Air,871.71,Haiti,0,1,Haiti
2008-07-22,2008-07-22,Air,26574.61,Rwanda,0,1,Rwanda
2009-01-22,2009-01-22,Air,5781.14,Zimbabwe,0,1,Zimbabwe
2008-09-03,2008-09-03,Air,6609.02,Vietnam,0,1,Vietnam
2008-09-19,2008-09-19,Air,4883.46,Vietnam,0,1,Vietnam
2008-09-08,2008-09-08,Air,633.0,Tanzania,0,1,Tanzania
2008-10-09,2008-10-09,Air,4404.9,Nigeria,0,1,Nigeria
2008-11-07,2008-11-07,Air,22229.32,Nigeria,0,1,Nigeria
2008-12-02,2008-12-02,Air,2709.98,Vietnam,0,1,Vietnam
2008-11-21,2008-11-21,Air,2771.84,Vietnam,0,1,Vietnam
2008-11-21,2008-11-21,Air,1516.05,Vietnam,0,1,Vietnam
2008-10-06,2008-10-03,Air,44347.71,Ethiopia,-3,1,Ethiopia
2008-10-13,2008-10-13,Air,4015.0,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-12-16,2008-10-16,Air,21015.77,Haiti,-61,1,Haiti
2008-12-05,2008-12-05,Air,5243.53,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-02-27,2009-02-27,Air,3894.21,Vietnam,0,1,Vietnam
2008-12-29,2008-12-29,Air,23300.18,Mozambique,0,1,Mozambique
2009-02-18,2009-02-18,Air,8101.57,Ethiopia,0,1,Ethiopia
2009-01-30,2008-11-24,Air,15619.2,Ethiopia,-67,1,Ethiopia
2009-01-26,2009-01-26,Air,20083.74,Ethiopia,0,1,Ethiopia
2009-01-20,2009-01-20,Air,536.78,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-03-13,2009-03-13,Air,6862.01,Namibia,0,1,Namibia
2009-03-31,2009-03-31,Air,4323.93,Tanzania,0,1,Tanzania
2009-04-28,2009-03-11,Air,15022.74,Rwanda,-48,1,Rwanda
2009-04-15,2009-04-15,Air,807.28,Haiti,0,1,Haiti
2009-03-26,2009-03-26,Air,2246.81,Vietnam,0,1,Vietnam
2009-08-24,2009-08-24,Air,1939.99,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-07-14,2009-07-14,Air,3272.6,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-07-10,2009-07-10,Air,21686.21,Zambia,0,1,Zambia
2009-10-27,2009-10-27,Air,14515.44,Nigeria,0,1,Nigeria
2009-07-10,2009-07-10,Air,3321.08,Botswana,0,1,Botswana
2009-05-15,2009-05-15,Air,87.73,Namibia,0,1,Namibia
2006-08-28,2006-08-28,Air,1187.19,Zambia,0,1,Zambia
2006-09-01,2006-09-01,Air,10657.19,Vietnam,0,1,Vietnam
2006-09-04,2006-09-04,Air,19044.32,Vietnam,0,1,Vietnam
2006-10-27,2006-10-27,Air,4110.88,Côte d'Ivoire,0,1,Côte d'Ivoire
2007-01-02,2007-01-02,Air,3181.2,Uganda,0,1,Uganda
2007-01-09,2007-01-09,Air,6546.69,Zambia,0,1,Zambia
2007-03-16,2007-03-16,Air,14571.5,Vietnam,0,1,Vietnam
